          ns  percent  samples  top
     1639510    0.14%      148  RegMask::is_bound_pair() const
     1629330    0.14%       71  com.ibm.ws.threading.internal.SchedulingHelper.<init>
     1615841    0.14%      144  Symbol::increment_refcount()
     1609351    0.14%      156  PhaseChaitin::stretch_base_pointer_live_ranges(ResourceArea*)
     1574870    0.13%       83  Monitor::lock_without_safepoint_check()
     1561390    0.13%      154  PhaseIdealLoop::get_late_ctrl(Node*, Node*)
     1558020    0.13%      109  G1Policy::predict_yg_surv_rate(int, SurvRateGroup*) const
     1547691    0.13%       87  ObjectMonitor::wait(long, bool, Thread*)
     1547230    0.13%      152  PhaseIterGVN::remove_globally_dead_node(Node*)
     1547110    0.13%      126  G1Policy::predict_bytes_to_copy(HeapRegion*) const
     1538350    0.13%      152  PhaseCFG::schedule_late(VectorSet&, Node_Stack&)
     1538200    0.13%       91  com.ibm.ws.kernel.filemonitor.internal.MonitorHolder.scanForUpdates
     1515580    0.13%      144  MergeMemNode::MergeMemNode(Node*)
     1500811    0.13%       70  java.lang.Thread.interrupted
     1480091    0.13%      138  TypeInstPtr::make(TypePtr::PTR, ciKlass*, bool, ciObject*, int, int, TypePtr const*, int)
     1448130    0.12%       95  org.eclipse.osgi.internal.serviceregistry.ServiceRegistrationImpl.getProperty
     1445310    0.12%      100  CodeHeap::find_blob_unsafe(void*) const
     1441382    0.12%      143  Compile::shorten_branches(unsigned int*, int&, int&, int&)
     1438910    0.12%       66  com.ibm.ws.kernel.filemonitor.internal.DirectoryUpdateMonitor.performScan
     1438821    0.12%      113  AbsSeq::davg() const
     1435051    0.12%       87  slow_subtype_check Runtime1 stub
     1421200    0.12%      141  .annobin__ZN8PhaseCFG11is_uncommonEPK5Block.start
     1420622    0.12%      132  PhiNode::Ideal(PhaseGVN*, bool)
     1419680    0.12%      136  Compile::find_alias_type(TypePtr const*, bool, ciField*) [clone .part.0]
     1419220    0.12%      103  org.eclipse.persistence.internal.descriptors.ObjectBuilder.extractPrimaryKeyFromRow
     1416000    0.12%       57  .annobin__ZN15StatSamplerTask4taskEv.start
     1351961    0.12%      124  TypeNode::bottom_type() const
     1333180    0.11%      124  RegionNode::Ideal(PhaseGVN*, bool)
     1326802    0.11%       94  vtable stub
     1317561    0.11%       71  _int_free
     1292680    0.11%       93  java_lang_Throwable::fill_in_stack_trace(Handle, methodHandle const&, Thread*)
     1292291    0.11%      124  PhaseCCP::transform(Node*)
     1288251    0.11%      117  AddPNode::bottom_type() const
     1271221    0.11%      121  PhaseIdealLoop::is_dominator(Node*, Node*)
     1250800    0.11%      120  PhiNode::Value(PhaseGVN*) const
     1244560    0.11%      122  org.eclipse.persistence.internal.sessions.UnitOfWorkImpl.calculateChanges
     1244091    0.11%      118  org.apache.derby.impl.store.access.sort.SortBuffer.deleteLeftmost
     1221922    0.10%      120  PhaseIdealLoop::split_if_with_blocks_pre(Node*)
     1215001    0.10%      120  RegionNode::is_unreachable_region(PhaseGVN*) const
     1214610    0.10%      120  OopFlow::build_oop_map(Node*, int, PhaseRegAlloc*, int*)
     1203201    0.10%      120  DebugInformationRecorder::describe_scope(int, methodHandle const&, ciMethod*, int, bool, bool, bool, bool, DebugToken*, DebugToken*, DebugToken*)
     1203101    0.10%       85  org.eclipse.persistence.internal.descriptors.ObjectBuilder.buildWorkingCopyCloneFromRow
     1178850    0.10%      117  org.apache.derby.impl.sql.execute.ValueRow.getColumn
     1176250    0.10%      106  ChunkPool::allocate(unsigned long, AllocFailStrategy::AllocFailEnum)
     1175811    0.10%      114  ProjNode::pinned() const
     1166410    0.10%      111  Node::disconnect_inputs(Node*, Compile*)
     1164650    0.10%      112  PhaseCFG::insert_anti_dependences(Block*, Node*, bool)
     1163870    0.10%      115  Node::rematerialize() const
     1163110    0.10%       93  __vfprintf_internal
     1154720    0.10%       78  com.ibm.ws.threading.internal.BoundedBuffer.offer
     1152760    0.10%       78  java.util.concurrent.TimeUnit.convert
     1144180    0.10%       69  jni_GetObjectField
     1136360    0.10%       83  SymbolTable::lookup_shared(char const*, int, unsigned int)
     1121940    0.10%      102  PhiNode::Opcode() const
     1116820    0.10%       50  java_lang_Thread::set_thread_status(oopDesc*, java_lang_Thread::ThreadStatus)
     1116300    0.10%      109  PhaseCFG::hoist_to_cheaper_block(Block*, Block*, Node*)
     1115090    0.10%      108  .annobin__ZNK10jmpDirNode13is_block_projEv.start
     1111442    0.10%       40  Monitor::IWait(Thread*, long)
     1111270    0.10%       77  com.ibm.ws.threading.internal.SchedulingHelper.run
     1100900    0.09%       41  __fstatat
     1098080    0.09%       53  java.lang.Object.wait
     1097280    0.09%       47  __strchr_avx2
     1096090    0.09%      102  TypeInstPtr::hash() const
     1087620    0.09%       50  java.util.concurrent.ScheduledThreadPoolExecutor.delayedExecute
     1082990    0.09%       63  com.ibm.ws.threading.internal.SchedulingRunnableFixedHelper.run
     1072851    0.09%      106  Node::replace_by(Node*)
     1069640    0.09%      106  PhaseIdealLoop::split_if_with_blocks_post(Node*, bool)
     1067330    0.09%       31  __condvar_dec_grefs
     1058050    0.09%       83  AbsSeq::dsd() const
     1047520    0.09%      102  MachNode::in_RegMask(unsigned int) const
     1043000    0.09%       79  org.apache.derby.impl.sql.execute.SortResultSet.loadSorter
     1039580    0.09%      101  PhaseIterGVN::subsume_node(Node*, Node*)
     1039170    0.09%       99  Node::dominates(Node*, Node_List&)
     1034112    0.09%       42  __GI___pthread_cond_timedwait
     1031490    0.09%      100  .annobin__ZN5State17MachOperGeneratorEi.start
     1027021    0.09%      103  org.apache.derby.impl.sql.execute.BasicSortObserver.getClone
