# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 4546231725
#
# Overhead        Period  Command          Shared Object         Symbol                                                                                                                                                                    
# ........  ............  ...............  ....................  ..........................................................................................................................................................................
#
     0.04%       1766938  java             [JIT] tid 157535      [.] 0x00007fe1556e7e80
     0.04%       1766796  java             libjvm.so             [.] LinkInfo::LinkInfo
     0.04%       1766748  java             [JIT] tid 157535      [.] 0x00007fe1556e9c89
     0.04%       1766668  java             libjvm.so             [.] AccessInternal::PostRuntimeDispatch<CardTableBarrierSet::AccessBarrier<286822ul, CardTableBarrierSet>, (AccessInternal::BarrierType)1, 286822ul>::oop_access_barrier
     0.04%       1766666  C2 CompilerThre  libjvm.so             [.] Parse::do_if
     0.04%       1766371  java             libc.so.6             [.] __vfprintf_internal
     0.04%       1766260  java             [JIT] tid 157535      [.] 0x00007fe1556e9baa
     0.04%       1765899  C1 CompilerThre  libjvm.so             [.] BlockBegin::substitute_sux
     0.04%       1765094  java             libjvm.so             [.] PlaceholderTable::find_and_add
     0.04%       1764463  C2 CompilerThre  libjvm.so             [.] RegionNode::is_unreachable_from_root
     0.04%       1764457  C2 CompilerThre  libjvm.so             [.] IndexSet::free_block
     0.04%       1763962  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::alloc_locked_reg
     0.04%       1763775  C2 CompilerThre  libjvm.so             [.] NodeHash::hash_delete
     0.04%       1763476  java             libjvm.so             [.] ImmutableOopMapSet::find_map_at_offset
     0.04%       1763262  java             libjvm.so             [.] klassVtable::fill_in_mirandas
     0.04%       1763248  java             [kernel.kallsyms]     [k] __pagevec_lru_add_fn
     0.04%       1762968  java             [JIT] tid 157535      [.] 0x00007fe1556e0693
     0.04%       1762946  java             [JIT] tid 157535      [.] 0x00007fe1556ea304
     0.04%       1762881  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::stretch_base_pointer_live_ranges
     0.04%       1762371  java             libjvm.so             [.] Dependencies::DepStream::spot_check_dependency_at
     0.04%       1761982  java             [JIT] tid 157535      [.] 0x00007fe1556d8796
     0.04%       1761813  java             libjvm.so             [.] frame::is_interpreted_frame
     0.04%       1761717  java             [JIT] tid 157535      [.] 0x00007fe1556dd5d3
     0.04%       1761530  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::identical_backtoback_ifs
     0.04%       1761339  C2 CompilerThre  libjvm.so             [.] IfNode::Opcode
     0.04%       1761285  java             libc.so.6             [.] cfree@GLIBC_2.2.5
     0.04%       1761226  java             libjvm.so             [.] StackMapFrame::StackMapFrame
     0.04%       1761208  java             [JIT] tid 157535      [.] 0x00007fe1556e53cf
     0.04%       1761199  C2 CompilerThre  libjvm.so             [.] ConstraintCastNode::Value
     0.04%       1760956  java             libjvm.so             [.] oopFactory::new_typeArray
     0.04%       1760285  java             [kernel.kallsyms]     [k] kmem_cache_free
     0.04%       1760223  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::clone_loop_handle_data_uses
     0.04%       1759583  java             [JIT] tid 157535      [.] 0x00007fe1556d8359
     0.04%       1759560  java             [JIT] tid 157535      [.] 0x00007fe1556e6ddf
     0.04%       1759482  C2 CompilerThre  libjvm.so             [.] IdealLoopTree::check_safepts
     0.04%       1759000  java             [JIT] tid 157535      [.] 0x00007fe1556d8250
     0.04%       1758984  java             [JIT] tid 157535      [.] 0x00007fe1556eb50c
     0.04%       1758783  java             libjvm.so             [.] LoaderConstraintTable::find_loader_constraint
     0.04%       1758330  java             [kernel.kallsyms]     [k] security_inode_permission
     0.04%       1758236  C2 CompilerThre  libjvm.so             [.] MachNode::rematerialize
     0.04%       1758004  java             libjvm.so             [.] LinkResolver::resolve_static_call
     0.04%       1757081  java             [JIT] tid 157535      [.] 0x00007fe1556e0053
     0.04%       1756830  java             libjvm.so             [.] JfrTraceId::assign
     0.04%       1756785  java             libjvm.so             [.] SignatureStream::find_symbol
     0.04%       1756572  java             libjvm.so             [.] JavaCalls::call_helper
     0.04%       1755522  java             [JIT] tid 157535      [.] 0x00007fe1556e8eda
     0.04%       1755477  C2 CompilerThre  libjvm.so             [.] PhaseCFG::global_code_motion
     0.04%       1754923  java             [JIT] tid 157535      [.] 0x00007fe1556e86a7
     0.04%       1754898  C2 CompilerThre  libjvm.so             [.] PhaseCFG::build_cfg
     0.04%       1754380  java             libjvm.so             [.] java_lang_String::equals
     0.04%       1754257  java             [JIT] tid 157535      [.] 0x00007fe1556e8410
     0.04%       1753950  java             [JIT] tid 157535      [.] 0x00007fe1556de957
     0.04%       1753945  java             libjvm.so             [.] jni_GetPrimitiveArrayCritical
     0.04%       1752889  java             [JIT] tid 157535      [.] 0x00007fe1556e7f6c
     0.04%       1751061  java             [kernel.kallsyms]     [k] handle_pte_fault
     0.04%       1750830  C1 CompilerThre  libjvm.so             [.] Compilation::debug_info_recorder
     0.04%       1750744  java             libjvm.so             [.] Method::allocate
     0.04%       1750169  java             libjvm.so             [.] java_lang_String::create_from_unicode
     0.04%       1749926  java             [kernel.kallsyms]     [k] __inode_security_revalidate
     0.04%       1748863  java             [JIT] tid 157535      [.] 0x00007fe155ca0306
     0.04%       1748699  C2 CompilerThre  libjvm.so             [.] GraphKit::stopped
     0.04%       1748649  java             libjvm.so             [.] SymbolTable::lookup_shared
     0.04%       1748196  java             libjvm.so             [.] ConstMethod::exception_table_start
     0.04%       1748151  C2 CompilerThre  libjvm.so             [.] PathFrequency::to
     0.04%       1748002  java             libjimage.so          [.] ImageStrings::find
     0.04%       1747927  C2 CompilerThre  libjvm.so             [.] LoadRangeNode::Opcode
     0.04%       1747589  java             [JIT] tid 157535      [.] 0x00007fe1556db4a4
     0.04%       1747350  java             [JIT] tid 157535      [.] 0x00007fe15d1e6f73
     0.04%       1746979  C2 CompilerThre  libjvm.so             [.] PhiNode::in_RegMask
     0.04%       1746677  java             libjvm.so             [.] OopMapStream::find_next
     0.04%       1746025  C2 CompilerThre  libjvm.so             [.] PhaseOutput::Process_OopMap_Node
     0.04%       1744984  C2 CompilerThre  libjvm.so             [.] RegionNode::hash
     0.04%       1744918  java             [kernel.kallsyms]     [k] filemap_read
     0.04%       1744875  C2 CompilerThre  libjvm.so             [.] ciMethodData::bci_to_data
     0.04%       1744767  C1 CompilerThre  libc.so.6             [.] __memmove_sse2_unaligned_erms
     0.04%       1744652  java             libjvm.so             [.] ClassVerifier::verify_exception_handler_targets
     0.04%       1743852  java             [JIT] tid 157535      [.] 0x00007fe1556eb0d5
     0.04%       1743630  java             [kernel.kallsyms]     [k] change_protection_range
     0.04%       1742986  java             [JIT] tid 157535      [.] 0x00007fe1556e4c53
     0.04%       1742502  java             [JIT] tid 157535      [.] 0x00007fe1556de953
     0.04%       1742345  C2 CompilerThre  libjvm.so             [.] Node_Array::remove
     0.04%       1742147  C2 CompilerThre  libjvm.so             [.] RootNode::Opcode
     0.04%       1741688  java             libc.so.6             [.] __GI___qsort_r
     0.04%       1741358  C2 CompilerThre  libjvm.so             [.] PhaseIFG::Union
     0.04%       1740175  C2 CompilerThre  libjvm.so             [.] Block_Stack::most_frequent_successor
     0.04%       1739823  C1 CompilerThre  libjvm.so             [.] ciMethodData::load_data
     0.04%       1739490  C1 CompilerThre  libjvm.so             [.] ciMethodBlocks::ciMethodBlocks
     0.04%       1739476  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::use_prior_register
     0.04%       1739444  java             [JIT] tid 157535      [.] 0x00007fe1556e9606
     0.04%       1738163  C2 CompilerThre  libjvm.so             [.] IfTrueNode::Opcode
     0.04%       1737573  C1 CompilerThre  libjvm.so             [.] LIRGenerator::rlock_result
     0.04%       1736409  C2 CompilerThre  libjvm.so             [.] IdealLoopTree::reassociate_invariants
     0.04%       1736068  java             [JIT] tid 157535      [.] 0x00007fe1556e332a
     0.04%       1735945  C1 CompilerThre  libjvm.so             [.] LIR_Assembler::reg2mem
     0.04%       1735233  java             libjvm.so             [.] ClassVerifier::verify_invoke_init
     0.04%       1735029  java             libjvm.so             [.] ClassLoadingService::notify_class_loaded
     0.04%       1735017  C2 CompilerThre  libjvm.so             [.] PhiNode::unique_input
     0.04%       1734273  C2 CompilerThre  libjvm.so             [.] IdealLoopTree::beautify_loops
     0.04%       1734057  java             libjvm.so             [.] os::random
     0.04%       1733699  java             [kernel.kallsyms]     [k] copy_page_to_iter
     0.04%       1733085  C2 CompilerThre  libjvm.so             [.] PhaseConservativeCoalesce::coalesce
     0.04%       1732501  C1 CompilerThre  libjvm.so             [.] LIR_OprDesc::as_register
     0.04%       1732186  C2 CompilerThre  libjvm.so             [.] Node::has_special_unique_user
     0.04%       1731299  java             [JIT] tid 157535      [.] 0x00007fe1556e3009
     0.04%       1730749  java             [JIT] tid 157535      [.] 0x00007fe1556e6b93
     0.04%       1730438  java             libjvm.so             [.] ClassVerifier::translate_signature
     0.04%       1728123  java             libjvm.so             [.] ConstantPool::impl_signature_ref_at
     0.04%       1727790  C2 CompilerThre  libjvm.so             [.] CompileBroker::compiler_thread_loop
     0.04%       1727037  C1 CompilerThre  libjvm.so             [.] Assembler::jcc
     0.04%       1726524  C2 CompilerThre  libjvm.so             [.] GraphKit::uncommon_trap
     0.04%       1725706  java             [kernel.kallsyms]     [k] security_inode_getattr
     0.04%       1725700  C2 CompilerThre  libc.so.6             [.] memcpy@GLIBC_2.2.5
     0.04%       1725268  java             libjvm.so             [.] jni_GetArrayLength
     0.04%       1724749  java             [JIT] tid 157535      [.] 0x00007fe1556db724
     0.04%       1721871  C2 CompilerThre  [kernel.kallsyms]     [k] selinux_file_mprotect
     0.04%       1721163  C1 CompilerThre  libjvm.so             [.] BlockListBuilder::mark_loops
     0.04%       1718015  java             [JIT] tid 157535      [.] 0x00007fe1556db799
     0.04%       1715661  C2 CompilerThre  libjvm.so             [.] Node::find_long_type
     0.04%       1713350  java             libjvm.so             [.] metaspace::get_raw_word_size_for_requested_word_size
     0.04%       1711198  C2 CompilerThre  libjvm.so             [.] AndINode::Ideal
     0.04%       1710956  C1 CompilerThre  libjvm.so             [.] GraphBuilder::copy_state_for_exception_with_bci
     0.04%       1710744  java             [JIT] tid 157535      [.] 0x00007fe1556ea621
     0.04%       1707586  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::clone_loop
     0.04%       1701137  C2 CompilerThre  libjvm.so             [.] __tls_get_addr@plt
     0.04%       1700570  C1 CompilerThre  libjvm.so             [.] CompileBroker::possibly_add_compiler_threads
     0.04%       1695781  java             [kernel.kallsyms]     [k] __d_lookup_rcu
     0.04%       1695425  C2 CompilerThre  libjvm.so             [.] RegionNode::Ideal
     0.04%       1691265  C2 CompilerThre  libjvm.so             [.] IfNode::Value
     0.04%       1689486  C2 CompilerThre  libjvm.so             [.] PhiNode::hash
     0.04%       1688262  C2 CompilerThre  [kernel.kallsyms]     [k] __free_one_page
     0.04%       1686383  C2 CompilerThre  libjvm.so             [.] InstanceKlass::find_field
     0.04%       1686324  C1 CompilerThre  libjvm.so             [.] LinearScan::resolve_data_flow
     0.04%       1685602  C2 CompilerThre  libjvm.so             [.] ConINode::Opcode
     0.04%       1684232  C2 CompilerThre  libjvm.so             [.] GrowableArrayWithAllocator<int, GrowableArray<int> >::grow
     0.04%       1683534  C2 CompilerThre  libjvm.so             [.] ConnectionGraph::compute_escape
     0.04%       1681727  C1 CompilerThre  libjvm.so             [.] ciMethod::ciMethod
     0.04%       1677121  C2 CompilerThre  libjvm.so             [.] IfNode::Ideal_common
     0.04%       1676660  C1 CompilerThre  libjvm.so             [.] CodeEmitInfo::record_debug_info
     0.04%       1673540  C2 CompilerThre  libjvm.so             [.] Matcher::pd_clone_node
     0.04%       1673450  C2 CompilerThre  [kernel.kallsyms]     [k] release_pages
     0.04%       1672950  java             libjvm.so             [.] StringTable::do_lookup
     0.04%       1664736  C1 CompilerThre  libjvm.so             [.] LIR_List::add
     0.04%       1663026  C1 CompilerThre  libjvm.so             [.] GraphBuilder::push_scope
     0.04%       1658777  C1 CompilerThre  libjvm.so             [.] CompareOp::hash
     0.04%       1657870  C2 CompilerThre  libjvm.so             [.] InstanceKlass::find_method_index
     0.04%       1656961  C1 CompilerThre  libjvm.so             [.] CodeBuffer::relocate_code_to
     0.04%       1656607  C2 CompilerThre  [JIT] tid 157535      [.] 0x00007fe1556cf099
     0.04%       1653391  C2 CompilerThre  libjvm.so             [.] Node::Node
     0.04%       1651859  C1 CompilerThre  libjvm.so             [.] CodeEmitInfo::interpreter_frame_size
     0.04%       1651152  C1 CompilerThre  libjvm.so             [.] IRScope::IRScope
     0.04%       1648750  C1 CompilerThre  libjvm.so             [.] BlockBegin::BlockBegin
     0.04%       1648742  C2 CompilerThre  libjvm.so             [.] GrowableArrayArenaAllocator::allocate
     0.04%       1647721  C2 CompilerThre  libjvm.so             [.] IfFalseNode::Opcode
     0.04%       1646769  C1 CompilerThre  libjvm.so             [.] CompileTask::select_for_compilation
     0.04%       1646616  java             libjvm.so             [.] InstanceKlass::uncached_lookup_method
     0.04%       1646324  C2 CompilerThre  libjvm.so             [.] ProjNode::bottom_type
     0.04%       1638307  C2 CompilerThre  [kernel.kallsyms]     [k] rwsem_optimistic_spin
     0.04%       1637054  java             [JIT] tid 157535      [.] 0x00007fe1556e7e72
     0.04%       1635643  C1 CompilerThre  libjvm.so             [.] InstanceKlass::find_local_field
     0.04%       1633203  C2 CompilerThre  [kernel.kallsyms]     [k] __handle_mm_fault
     0.04%       1631204  C1 CompilerThre  [kernel.kallsyms]     [k] futex_wake
     0.04%       1631204  C1 CompilerThre  libjvm.so             [.] ArenaBitMap::ArenaBitMap
     0.04%       1631148  C1 CompilerThre  libc.so.6             [.] _IO_default_xsputn
     0.04%       1629651  C2 CompilerThre  libjvm.so             [.] Compile::find_alias_type
     0.04%       1625885  C1 CompilerThre  libjvm.so             [.] GraphBuilder::if_zero
     0.04%       1624398  C1 CompilerThre  libjvm.so             [.] GraphBuilder::connect_to_end
     0.04%       1623219  C1 CompilerThre  libjvm.so             [.] LinearScan::append_scope_value
     0.04%       1622798  C1 CompilerThre  libjvm.so             [.] LIRGenerator::do_Invoke
     0.04%       1621639  C1 CompilerThre  libjvm.so             [.] LIRGenerator::generate_address
     0.04%       1618175  C2 CompilerThre  libjvm.so             [.] RangeCheckNode::Opcode
     0.04%       1615119  C2 CompilerThre  libjvm.so             [.] TypeTuple::eq
     0.04%       1613748  C1 CompilerThre  libjvm.so             [.] ciObjectFactory::vm_symbol_at
     0.04%       1609776  C2 CompilerThre  libjvm.so             [.] PhiNode::is_diamond_phi
     0.04%       1604160  C1 CompilerThre  libjvm.so             [.] nmethod::fix_oop_relocations
     0.04%       1595134  C2 CompilerThre  libjvm.so             [.] Type::remove_speculative
     0.04%       1592739  C2 CompilerThre  libjvm.so             [.] ParmNode::Opcode
     0.03%       1591034  C1 CompilerThre  libjvm.so             [.] LinearScan::use_kind_of_output_operand
     0.03%       1588210  C2 CompilerThre  libjvm.so             [.] constantPoolHandle::~constantPoolHandle
     0.03%       1575721  C2 CompilerThre  libjvm.so             [.] Dict::Dict
     0.03%       1573875  C1 CompilerThre  libjvm.so             [.] CompileBroker::collect_statistics
     0.03%       1569800  C1 CompilerThre  [kernel.kallsyms]     [k] vmacache_find
     0.03%       1569781  C2 CompilerThre  [kernel.kallsyms]     [k] futex_wait_setup
     0.03%       1563854  C2 CompilerThre  [kernel.kallsyms]     [k] uncharge_page
     0.03%       1562458  C1 CompilerThre  libjvm.so             [.] BlockListBuilder::make_block_at
     0.03%       1560586  C1 CompilerThre  libjvm.so             [.] Assembler::cmpq
     0.03%       1549451  C1 CompilerThre  libjvm.so             [.] GrowableArrayWithAllocator<Instruction*, GrowableArray<Instruction*> >::grow
     0.03%       1547316  C1 CompilerThre  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.03%       1545007  C1 CompilerThre  [kernel.kallsyms]     [k] do_sysinfo.isra.0
     0.03%       1544385  C1 CompilerThre  libjvm.so             [.] Assembler::emit_operand_helper
     0.03%       1544152  C1 CompilerThre  libjvm.so             [.] RangeCheckEliminator::RangeCheckEliminator
     0.03%       1542693  C1 CompilerThre  libc.so.6             [.] syscall
     0.03%       1537063  C1 CompilerThre  libjvm.so             [.] Goto::visit
     0.03%       1535051  C1 CompilerThre  libjvm.so             [.] MethodData::profile_unsafe
     0.03%       1522165  C2 CompilerThre  libjvm.so             [.] ciTypeFlow::StateVector::apply_one_bytecode
     0.03%       1510513  C1 CompilerThre  libjvm.so             [.] ciMethodData::bci_to_data
     0.03%       1495802  C2 CompilerThre  libjvm.so             [.] TypeAryPtr::add_offset
     0.03%       1491135  C1 CompilerThre  [kernel.kallsyms]     [k] do_anonymous_page
     0.03%       1483774  C2 CompilerThre  [kernel.kallsyms]     [k] page_remove_rmap
     0.03%       1477604  C1 CompilerThre  libjvm.so             [.] MethodData::compute_allocation_size_in_bytes
     0.03%       1468054  C1 CompilerThre  libjvm.so             [.] ControlFlowOptimizer::delete_unnecessary_jumps
     0.03%       1463140  C2 CompilerThre  libjvm.so             [.] ciTypeFlow::df_flow_types
     0.03%       1441245  C1 CompilerThre  libjvm.so             [.] NullCheckEliminator::merge_state_for
     0.03%       1417952  C1 CompilerThre  libjvm.so             [.] LIRGenerator::profile_branch
     0.03%       1415454  C1 CompilerThre  libjvm.so             [.] ValueStack::push
     0.03%       1408540  C1 CompilerThre  libjvm.so             [.] GraphBuilder::args_list_for_profiling
     0.03%       1393255  C1 CompilerThre  libjvm.so             [.] LIR_List::cmp
     0.03%       1367059  C2 CompilerThre  libjvm.so             [.] vmSymbols::find_sid
     0.02%       1077721  som              python2.7             [.] _PyUnicodeUCS2_Init
     0.02%       1057499  som              [kernel.kallsyms]     [k] __pagevec_lru_add_fn
     0.02%       1040869  C2 CompilerThre  libjvm.so             [.] Matcher::ReduceOper
     0.02%       1017990  C1 CompilerThre  libjvm.so             [.] LIRGenerator::do_ShiftOp
     0.02%       1015764  som              python2.7             [.] dict_traverse
     0.02%       1005304  C1 CompilerThre  libjvm.so             [.] Instruction::as_Return
     0.02%        993924  som              python2.7             [.] list_dealloc
     0.02%        992010  C1 CompilerThre  libc.so.6             [.] _itoa_word
     0.02%        991733  java             [JIT] tid 157535      [.] 0x00007fe155eb488a
     0.02%        979570  java             [JIT] tid 157535      [.] 0x00007fe1556d8373
     0.02%        979086  C1 CompilerThre  libjvm.so             [.] GrowableArrayResourceAllocator::allocate
     0.02%        979016  java             [kernel.kallsyms]     [k] futex_wake
     0.02%        978314  C2 CompilerThre  libjvm.so             [.] ciTypeFlow::get_block_for
     0.02%        975847  C2 CompilerThre  libjvm.so             [.] JVMState::debug_depth
     0.02%        974800  java             [kernel.kallsyms]     [k] __audit_syscall_entry
     0.02%        969467  C1 CompilerThre  libc.so.6             [.] read_int
     0.02%        969444  java             [kernel.kallsyms]     [k] __cgroup_account_cputime
     0.02%        966333  C2 CompilerThre  libjvm.so             [.] Node::set_req
     0.02%        964537  som              [kernel.kallsyms]     [k] _raw_spin_lock
     0.02%        963078  C1 CompilerThre  libjvm.so             [.] RangeCheckEliminator::set_process_block_flags
     0.02%        962044  java             [JIT] tid 157535      [.] 0x00007fe155cfd80a
     0.02%        961728  C2 CompilerThre  libjvm.so             [.] ciEnv::get_instance_klass_for_declared_method_holder
     0.02%        960626  C1 CompilerThre  libjvm.so             [.] poll_Relocation::fix_relocation_after_move
     0.02%        954552  C2 CompilerThre  [kernel.kallsyms]     [k] amd_pmu_addr_offset
     0.02%        954552  C2 CompilerThre  libc.so.6             [.] _IO_old_init
     0.02%        952921  C2 CompilerThre  libjvm.so             [.] ciBytecodeStream::get_constant_pool_index
     0.02%        952175  C2 CompilerThre  libjvm.so             [.] PhaseIFG::Compute_Effective_Degree
     0.02%        948065  C1 CompilerThre  libjvm.so             [.] Constant::visit
     0.02%        947067  C1 CompilerThre  [kernel.kallsyms]     [k] send_call_function_single_ipi
     0.02%        946831  C2 CompilerThre  libjvm.so             [.] ciTypeFlow::flow_block
     0.02%        946643  C1 CompilerThre  libjvm.so             [.] MethodData::next_data
     0.02%        944661  som              python2.7             [.] _PyType_Lookup
     0.02%        944504  java             libjvm.so             [.] os::malloc
     0.02%        943908  C2 CompilerThre  libjvm.so             [.] Parse::do_get_xxx
     0.02%        943809  java             libjvm.so             [.] SharedRuntime::exception_handler_for_return_address
     0.02%        943274  C1 CompilerThre  libjvm.so             [.] LIR_Address::as_address
     0.02%        940875  C2 CompilerThre  libjvm.so             [.] ciMetadata::is_instance_klass
     0.02%        939584  C2 CompilerThre  libjvm.so             [.] loadConPNode::ideal_Opcode
     0.02%        938479  C2 CompilerThre  libc.so.6             [.] syscall
     0.02%        938115  C1 CompilerThre  libjvm.so             [.] GraphBuilder::profile_invocation
     0.02%        937205  C2 CompilerThre  libjvm.so             [.] Parse::do_call
     0.02%        934886  C1 CompilerThre  libjvm.so             [.] NullCheckEliminator::visit
     0.02%        934495  C1 CompilerThre  libjvm.so             [.] LIRGenerator::do_NewObjectArray
     0.02%        934228  java             [JIT] tid 157535      [.] 0x00007fe1556db566
     0.02%        934150  java             libjvm.so             [.] LinkResolver::runtime_resolve_virtual_method
     0.02%        933266  C2 CompilerThre  libjvm.so             [.] TypeInt::make
     0.02%        933002  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::split_before_usage
     0.02%        932878  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::split_DEF
     0.02%        929374  C2 CompilerThre  libjvm.so             [.] IfNode::search_identical
     0.02%        929234  C1 CompilerThre  libjvm.so             [.] CodeEmitInfo::CodeEmitInfo
     0.02%        928756  som              [kernel.kallsyms]     [k] ktime_get_coarse_real_ts64
     0.02%        928397  java             libjvm.so             [.] CodeBuffer::relocate_code_to
     0.02%        928360  C2 CompilerThre  libjvm.so             [.] Node::hash
     0.02%        928153  C2 CompilerThre  libjvm.so             [.] rFlagsRegOper::type
     0.02%        926888  C2 CompilerThre  libjvm.so             [.] TypeTuple::make_range
     0.02%        926519  C2 CompilerThre  libjvm.so             [.] TypeOopPtr::cleanup_speculative
     0.02%        925958  C1 CompilerThre  libjvm.so             [.] os::pd_commit_memory
     0.02%        925634  java             [kernel.kallsyms]     [k] do_user_addr_fault
     0.02%        923929  C2 CompilerThre  libjvm.so             [.] PhaseValues::saturate
     0.02%        923192  C2 CompilerThre  libjvm.so             [.] ciBytecodeStream::has_local_signature
     0.02%        921854  C2 CompilerThre  [vdso]                [.] 0x00000000000007c8
     0.02%        921854  C2 CompilerThre  libjvm.so             [.] ciObjectFactory::get_unloaded_klass
     0.02%        921365  java             libjvm.so             [.] frame::interpreter_frame_method
     0.02%        921233  C1 CompilerThre  libjvm.so             [.] Canonicalizer::do_NullCheck
     0.02%        921075  C2 CompilerThre  libjvm.so             [.] ciMethod::code_size_for_inlining
     0.02%        921075  C2 CompilerThre  libjvm.so             [.] ciMethodBlocks::do_analysis
     0.02%        920621  som              [kernel.kallsyms]     [k] copy_user_generic_string
     0.02%        920472  C1 CompilerThre  libjvm.so             [.] Dependencies::assert_common_2
     0.02%        920472  C1 CompilerThre  libjvm.so             [.] ciBytecodeStream::has_local_signature
     0.02%        920299  java             libc.so.6             [.] __vsnprintf_internal
     0.02%        917753  C2 CompilerThre  libjvm.so             [.] ciKlass::is_subtype_of
     0.02%        916884  C2 CompilerThre  libjvm.so             [.] Parse::merge_memory_edges
     0.02%        916694  C2 CompilerThre  libjvm.so             [.] Label::patch_instructions
     0.02%        914528  C1 CompilerThre  libjvm.so             [.] BlockList::iterate_forward
     0.02%        914528  java             libjvm.so             [.] InstanceKlass::find_field
     0.02%        913983  C2 CompilerThre  libjvm.so             [.] CompileWrapper::CompileWrapper
     0.02%        913561  C2 CompilerThre  libjvm.so             [.] Matcher::pd_specialize_generic_vector_operand
     0.02%        912367  som              [kernel.kallsyms]     [k] xfs_vn_getattr
     0.02%        912036  C2 CompilerThre  libjvm.so             [.] Compile::alias_type
     0.02%        912036  C2 CompilerThre  libjvm.so             [.] ciField::is_call_site_target
     0.02%        911595  C2 CompilerThre  libjvm.so             [.] Assembler::movl
     0.02%        911462  C2 CompilerThre  libjvm.so             [.] TypeAryPtr::eq
     0.02%        910234  java             [kernel.kallsyms]     [k] tlb_finish_mmu
     0.02%        909912  C1 CompilerThre  libjvm.so             [.] Method::build_interpreter_method_data
     0.02%        909564  C2 CompilerThre  [JIT] tid 157535      [.] 0x00007fe1556cf080
     0.02%        909404  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::split_for_spilling
     0.02%        909313  C1 CompilerThre  libjvm.so             [.] LIR_OprFact::value_type
     0.02%        908240  C1 CompilerThre  libjvm.so             [.] ciObjectFactory::get_symbol
     0.02%        907829  C2 CompilerThre  libjvm.so             [.] LinkResolver::resolve_method
     0.02%        907710  som              [kernel.kallsyms]     [k] page_mapping
     0.02%        907411  C1 CompilerThre  libjvm.so             [.] ExceptionHandlerTable::copy_to
     0.02%        907051  C1 CompilerThre  libjvm.so             [.] CounterOverflowStub::visit
     0.02%        906563  C1 CompilerThre  libjvm.so             [.] GraphBuilder::GraphBuilder
     0.02%        905491  C1 CompilerThre  libjvm.so             [.] AccessInternal::PostRuntimeDispatch<CardTableBarrierSet::AccessBarrier<548964ul, CardTableBarrierSet>, (AccessInternal::BarrierType)2, 548964ul>::oop_access_barrier
     0.02%        905401  java             libjvm.so             [.] SharedRuntime::handle_ic_miss_helper_internal
     0.02%        905348  java             [kernel.kallsyms]     [k] list_sort
     0.02%        904556  C1 CompilerThre  libjvm.so             [.] ResourceObj::operator new
     0.02%        904343  C2 CompilerThre  libjvm.so             [.] PhiNode::make
     0.02%        903572  som              [kernel.kallsyms]     [k] xfs_dir2_sf_getdents.isra.0
     0.02%        902885  C2 CompilerThre  libjvm.so             [.] Arena::Arealloc
     0.02%        902299  C1 CompilerThre  libjvm.so             [.] IR::compute_use_counts
     0.02%        902166  C2 CompilerThre  libjvm.so             [.] jmpLoopEndNode::pinned
     0.02%        902025  java             [kernel.kallsyms]     [k] native_apic_msr_eoi_write
     0.02%        901840  C2 CompilerThre  libjvm.so             [.] ChunkPool::allocate
     0.02%        901790  C1 CompilerThre  libjvm.so             [.] Op2::input_values_do
     0.02%        901537  C2 CompilerThre  libjvm.so             [.] Type::xmeet
     0.02%        901503  java             libjvm.so             [.] vmSymbols::find_sid
     0.02%        901418  C2 CompilerThre  libjvm.so             [.] JVMState::debug_end
     0.02%        901262  C2 CompilerThre  libjvm.so             [.] MergeMemNode::Opcode
     0.02%        901237  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::is_scaled_iv
     0.02%        901209  java             libjvm.so             [.] ClassPathImageEntry::open_stream_for_loader
     0.02%        901052  java             libc.so.6             [.] __memmove_avx_unaligned_erms
     0.02%        900385  java             [JIT] tid 157535      [.] 0x00007fe155d89b03
     0.02%        899955  C1 CompilerThre  libjvm.so             [.] Method::is_accessor
     0.02%        899783  som              libc.so.6             [.] __memmove_avx_unaligned_erms
     0.02%        899455  C1 CompilerThre  libjvm.so             [.] ResourceBitMap::initialize
     0.02%        899312  C1 CompilerThre  libjvm.so             [.] Local::as_Local
     0.02%        899120  C2 CompilerThre  libjvm.so             [.] URShiftLNode::Opcode
     0.02%        898769  som              python2.7             [.] PyGrammar_FindDFA
     0.02%        898579  java             libjvm.so             [.] Unsafe_ObjectFieldOffset1
     0.02%        898547  java             [kernel.kallsyms]     [k] sync_regs
     0.02%        898152  C1 CompilerThre  libjvm.so             [.] ParallelScavengeHeap::register_nmethod
     0.02%        898101  C2 CompilerThre  libjvm.so             [.] ValueRecorder<Metadata*>::maybe_find_index
     0.02%        897969  C1 CompilerThre  libjvm.so             [.] LIRItem::set_instruction
