# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 6921317673
#
# Overhead        Period  Command          Shared Object         Symbol                                                                                                                                                                                     
# ........  ............  ...............  ....................  ...........................................................................................................................................................................................
#
     0.28%      19613225  GC Thread#5      libjvm.so             [.] ParMarkBitMap::live_words_in_range_helper
     0.28%      19493387  C2 CompilerThre  [kernel.kallsyms]     [k] x86_pmu_disable_all
     0.28%      19414085  java             libjvm.so             [.] SymbolTable::lookup_only
     0.28%      19316354  java             [JIT] tid 160376      [.] 0x00007f02396db51e
     0.27%      18668398  java             [JIT] tid 160376      [.] 0x00007f02396db517
     0.27%      18481472  C2 CompilerThre  libjvm.so             [.] PhaseCFG::sched_call
     0.27%      18416731  C2 CompilerThre  libjvm.so             [.] Matcher::xform
     0.26%      18330510  C2 CompilerThre  libjvm.so             [.] PhaseCCP::analyze
     0.26%      18246411  C2 CompilerThre  libjvm.so             [.] Compile::remove_useless_nodes
     0.26%      18126456  C1 CompilerThre  libjvm.so             [.] Interval::add_range
     0.26%      17832245  GC Thread#3      libjvm.so             [.] ParMarkBitMap::live_words_in_range_helper
     0.26%      17704318  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::add_input_to_liveout
     0.26%      17668902  java             [JIT] tid 160376      [.] 0x00007f02396e7f50
     0.26%      17655940  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::transform_old
     0.25%      17276465  C1 CompilerThre  libjvm.so             [.] ValueStack::ValueStack
     0.25%      17230356  C1 CompilerThre  libjvm.so             [.] DebugInformationRecorder::find_sharable_decode_offset
     0.25%      17139759  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::add_users_to_worklist
     0.24%      16947511  C2 CompilerThre  libjvm.so             [.] Arena::contains
     0.24%      16918074  C2 CompilerThre  libc.so.6             [.] __memmove_sse2_unaligned_erms
     0.24%      16793679  C2 CompilerThre  libjvm.so             [.] CallStaticJavaNode::uncommon_trap_request
     0.23%      15917445  java             [JIT] tid 160376      [.] 0x00007f02396db4a8
     0.23%      15787504  java             libjvm.so             [.] ClassFileParser::parse_constant_pool
     0.22%      15015012  C2 CompilerThre  libjvm.so             [.] IndexSet::initialize
     0.21%      14846494  C2 CompilerThre  libjvm.so             [.] Compile::identify_useful_nodes
     0.21%      14829373  C2 CompilerThre  libjvm.so             [.] Node::clone
     0.21%      14816730  C2 CompilerThre  libjvm.so             [.] PhaseOutput::BuildOopMaps
     0.21%      14802260  java             [JIT] tid 160376      [.] 0x00007f02396db51b
     0.21%      14469334  C1 CompilerThre  libjvm.so             [.] vmSymbols::find_sid
     0.21%      14297543  C1 CompilerThre  libjvm.so             [.] NullCheckEliminator::iterate_one
     0.21%      14227937  C1 CompilerThre  libjvm.so             [.] GraphBuilder::iterate_bytecodes_for_block
     0.20%      14014088  java             [JIT] tid 160376      [.] 0x00007f02396d8344
     0.20%      13853037  GC Thread#0      libjvm.so             [.] SpinPause
     0.20%      13779924  C2 CompilerThre  libjvm.so             [.] Node::is_CFG
     0.20%      13713454  C1 CompilerThre  libjvm.so             [.] ValueStack::values_do
     0.20%      13621679  C1 CompilerThre  libjvm.so             [.] LinearScan::compute_local_live_sets
     0.19%      13287196  C2 CompilerThre  libjvm.so             [.] PhaseLive::add_liveout
     0.19%      13254294  C1 CompilerThre  libjvm.so             [.] InstanceKlass::find_method_index
     0.19%      13197462  java             libjvm.so             [.] ClassFileParser::parse_method
     0.19%      13162433  GC Thread#2      libjvm.so             [.] ParMarkBitMap::live_words_in_range_helper
     0.19%      13155392  java             [JIT] tid 160376      [.] 0x00007f02396e567d
     0.19%      13018649  C2 CompilerThre  libjvm.so             [.] Matcher::Label_Root
     0.18%      12506138  C2 CompilerThre  libjvm.so             [.] Matcher::match_tree
     0.18%      12484762  C2 CompilerThre  libjvm.so             [.] ciObjectFactory::get_metadata
     0.18%      12472410  java             libjvm.so             [.] ClassFileParser::parse_constant_pool_entries
     0.18%      12433899  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::Select
     0.18%      12413700  java             [kernel.kallsyms]     [k] x2apic_send_IPI
     0.18%      12382878  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::merge_multidefs
     0.18%      12376811  C2 CompilerThre  libjvm.so             [.] Node_Backward_Iterator::next
     0.18%      12364666  java             [JIT] tid 160376      [.] 0x00007f02396db4a0
     0.18%      12315548  C2 CompilerThre  libjvm.so             [.] RegMask::is_misaligned_pair
     0.18%      12256855  C2 CompilerThre  libjvm.so             [.] Matcher::find_shared
     0.18%      12220936  C2 CompilerThre  libjvm.so             [.] Type::cmp
     0.18%      12205098  C2 CompilerThre  libjvm.so             [.] MultiNode::is_CFG
     0.18%      12184966  C2 CompilerThre  libjvm.so             [.] resource_allocate_bytes
     0.17%      12099046  C1 CompilerThre  libjvm.so             [.] LinearScanWalker::free_collect_inactive_fixed
     0.17%      11532329  C2 CompilerThre  libjvm.so             [.] PhaseIFG::effective_degree
     0.17%      11509213  java             libjvm.so             [.] ClassFileParser::skip_over_field_signature
     0.17%      11450876  java             libjvm.so             [.] ConstantPool::klass_at_impl
     0.17%      11433954  java             [JIT] tid 160376      [.] 0x00007f02396d8389
     0.16%      11327334  C2 CompilerThre  libjvm.so             [.] PhaseCFG::insert_anti_dependences
     0.15%      10710905  C2 CompilerThre  libjvm.so             [.] IndexSet::alloc_block_containing
     0.15%      10701924  C2 CompilerThre  [kernel.kallsyms]     [k] clear_page_rep
     0.15%      10616919  C2 CompilerThre  libjvm.so             [.] NTarjan::DFS
     0.15%      10605155  java             libjvm.so             [.] ClassVerifier::generate_code_data
     0.15%      10559801  java             [JIT] tid 160376      [.] 0x00007f02396e7e87
     0.15%      10527517  C2 CompilerThre  libjvm.so             [.] Node::is_block_proj
     0.15%      10515529  C2 CompilerThre  libjvm.so             [.] PhaseCFG::schedule_local
     0.15%      10371439  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     0.15%      10349854  C1 CompilerThre  libjvm.so             [.] ciObjectFactory::get_metadata
     0.15%      10214438  C1 CompilerThre  libjvm.so             [.] IntervalWalker::walk_to
     0.14%       9974134  C1 CompilerThre  [kernel.kallsyms]     [k] x86_pmu_disable_all
     0.14%       9941864  C2 CompilerThre  libjvm.so             [.] Type::hashcons
     0.14%       9810979  java             [JIT] tid 160376      [.] 0x00007f02396cf099
     0.14%       9789805  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::Simplify
     0.14%       9761226  C2 CompilerThre  libjvm.so             [.] PhiNode::Opcode
     0.14%       9734279  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::build_loop_tree_impl
     0.14%       9728275  java             libc.so.6             [.] _int_malloc
     0.14%       9705248  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::gather_lrg_masks
     0.14%       9700622  C2 CompilerThre  libjvm.so             [.] MachNode::ideal_reg
     0.14%       9700455  C2 CompilerThre  libjvm.so             [.] PhaseCFG::schedule_early
     0.14%       9670406  C2 CompilerThre  libjvm.so             [.] RegMask::Size
     0.14%       9596234  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::split_if_with_blocks_pre
     0.14%       9582195  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::get_ctrl
     0.14%       9555705  C2 CompilerThre  libjvm.so             [.] CProjNode::is_block_proj
     0.14%       9369839  GC Thread#1      libjvm.so             [.] ParMarkBitMap::live_words_in_range_helper
     0.13%       9089574  GC Thread#0      libjvm.so             [.] ParMarkBitMap::live_words_in_range_helper
     0.13%       9006184  GC Thread#4      libjvm.so             [.] ParMarkBitMap::live_words_in_range_helper
     0.13%       8869508  java             libjvm.so             [.] AccessInternal::PostRuntimeDispatch<CardTableBarrierSet::AccessBarrier<548964ul, CardTableBarrierSet>, (AccessInternal::BarrierType)2, 548964ul>::oop_access_barrier
     0.13%       8847218  java             ld-linux-x86-64.so.2  [.] __tls_get_addr_slow
     0.13%       8788469  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::remove_bound_register_from_interfering_live_ranges
     0.13%       8743480  C2 CompilerThre  libjvm.so             [.] Node_Array::insert
     0.13%       8732764  java             [JIT] tid 160376      [.] 0x00007f02396eb7e7
     0.13%       8689947  java             libjvm.so             [.] Rewriter::Rewriter
     0.13%       8689430  C2 CompilerThre  libjvm.so             [.] RegionNode::Ideal
     0.13%       8682641  C2 CompilerThre  libjvm.so             [.] TypeOopPtr::TypeOopPtr
     0.13%       8682354  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::subsume_node
     0.12%       8636529  C2 CompilerThre  libjvm.so             [.] Node::pinned
     0.12%       8558942  C2 CompilerThre  libjvm.so             [.] Node::out_grow
     0.12%       8310967  C1 CompilerThre  libjvm.so             [.] BlockListBuilder::set_leaders
     0.12%       7988420  java             [JIT] tid 160376      [.] 0x00007f02396e86ab
     0.12%       7969881  java             ld-linux-x86-64.so.2  [.] update_get_addr
     0.12%       7965718  java             libc.so.6             [.] malloc
     0.11%       7927791  java             libjvm.so             [.] resource_allocate_bytes
     0.11%       7917816  java             libjvm.so             [.] UTF8::is_legal_utf8
     0.11%       7792635  C2 CompilerThre  libjvm.so             [.] Compile::final_graph_reshaping_walk
     0.11%       7785743  java             libjvm.so             [.] ClassFileParser::copy_localvariable_table
     0.11%       7781873  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::get_early_ctrl
     0.11%       7580498  C2 CompilerThre  libjvm.so             [.] Node::remove_dead_region
     0.10%       7188162  C1 CompilerThre  libjvm.so             [.] Dictionary::find
     0.10%       7137198  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::remove_globally_dead_node
     0.10%       7084989  java             [JIT] tid 160376      [.] 0x00007f02396e6ddf
     0.10%       7074985  java             [JIT] tid 160376      [.] 0x00007f02396e86a3
     0.10%       7068840  java             libjvm.so             [.] SymbolTable::do_add_if_needed
     0.10%       7058642  C2 CompilerThre  libjvm.so             [.] PhaseCFG::adjust_register_pressure
     0.10%       7056918  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::build_ifg_virtual
     0.10%       7049693  java             [JIT] tid 160376      [.] 0x00007f02396e6954
     0.10%       7047101  java             [JIT] tid 160376      [.] 0x00007f02396d8340
     0.10%       7046746  java             libjvm.so             [.] Dictionary::find
     0.10%       7034591  java             libc.so.6             [.] pthread_mutex_trylock@@GLIBC_2.34
     0.10%       7014573  java             [JIT] tid 160376      [.] 0x00007f02396e7e73
     0.10%       6988244  java             libjvm.so             [.] InstanceKlass::find_local_field
     0.10%       6939411  C2 CompilerThre  libjvm.so             [.] Compile::find_alias_type
     0.10%       6933383  C2 CompilerThre  libjvm.so             [.] Node::set_req_X
     0.10%       6903828  C2 CompilerThre  libjvm.so             [.] MergeMemNode::MergeMemNode
     0.10%       6861288  C2 CompilerThre  libjvm.so             [.] PhaseGVN::transform_no_reclaim
     0.10%       6792237  C2 CompilerThre  libjvm.so             [.] InstanceKlass::find_method_index
     0.10%       6697963  C1 CompilerThre  libjvm.so             [.] Location::write_on
     0.09%       6552018  C1 CompilerThre  libjvm.so             [.] GraphBuilder::access_field
     0.09%       6492350  C2 CompilerThre  libjvm.so             [.] PhaseIFG::init
     0.09%       6337250  GC Thread#0      [kernel.kallsyms]     [k] clear_page_rep
     0.09%       6337024  GC Thread#3      libjvm.so             [.] SpinPause
     0.09%       6266169  C2 CompilerThre  libjvm.so             [.] LoadNode::Ideal
     0.09%       6258911  C2 CompilerThre  libjvm.so             [.] OopFlow::build_oop_map
     0.09%       6245066  java             [kernel.kallsyms]     [k] x86_pmu_disable_all
     0.09%       6238856  C1 CompilerThre  libjvm.so             [.] PhiResolver::create_node
     0.09%       6237490  C2 CompilerThre  libjvm.so             [.] State::MachNodeGenerator
     0.09%       6237076  C2 CompilerThre  libjvm.so             [.] Node::unique_ctrl_out
     0.09%       6235077  java             libjvm.so             [.] JNIHandleBlock::allocate_handle
     0.09%       6227180  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::try_sink_out_of_loop
     0.09%       6217785  java             libjvm.so             [.] AdapterHandlerLibrary::get_adapter
     0.09%       6206040  C2 CompilerThre  libjvm.so             [.] PhaseOutput::fill_buffer
     0.09%       6190274  java             libjvm.so             [.] ClassVerifier::verify_stackmap_table
     0.09%       6183629  java             [JIT] tid 160376      [.] 0x00007f02396e86b2
     0.09%       6181689  C2 CompilerThre  libjvm.so             [.] TypeNode::bottom_type
     0.09%       6177338  C2 CompilerThre  libjvm.so             [.] PhaseCFG::schedule_pinned_nodes
     0.09%       6175895  java             libjvm.so             [.] ConstMethod::set_inlined_tables_length
     0.09%       6175482  java             [kernel.kallsyms]     [k] copy_user_generic_string
     0.09%       6175233  C2 CompilerThre  libjvm.so             [.] LinkedConcreteMethodFinder::find_witness_anywhere
     0.09%       6170257  java             [JIT] tid 160376      [.] 0x00007f0239720100
     0.09%       6168363  java             libjvm.so             [.] Rewriter::compute_index_maps
     0.09%       6159635  C2 CompilerThre  libjvm.so             [.] ProjNode::pinned
     0.09%       6151565  java             libjvm.so             [.] SignatureStream::next
     0.09%       6151526  C2 CompilerThre  libjvm.so             [.] PhaseIterGVN::optimize
     0.09%       6131431  java             libjvm.so             [.] ClassFileParser::verify_legal_method_name
     0.09%       6130524  java             libc.so.6             [.] __memcmp_avx2_movbe
     0.09%       6117987  java             [JIT] tid 160376      [.] 0x00007f0239720104
     0.09%       6117348  C2 CompilerThre  libjvm.so             [.] GrowableArrayWithAllocator<float, GrowableArray<float> >::grow
     0.09%       6110929  C2 CompilerThre  libjvm.so             [.] Arena::Arealloc
     0.09%       6092987  C2 CompilerThre  libjvm.so             [.] PhaseRemoveUseless::PhaseRemoveUseless
     0.09%       6086578  C2 CompilerThre  libjvm.so             [.] PhiNode::unique_input
     0.09%       6086313  C2 CompilerThre  libjvm.so             [.] PhaseAggressiveCoalesce::coalesce
     0.09%       6083242  C1 CompilerThre  libjvm.so             [.] ValueMap::find_insert
     0.09%       6078011  C2 CompilerThre  libjvm.so             [.] Node::grow
     0.09%       6069406  java             [JIT] tid 160376      [.] 0x00007f02396e8189
     0.09%       6064495  C2 CompilerThre  libjvm.so             [.] PhaseIFG::SquareUp
     0.09%       6062987  C1 CompilerThre  libjvm.so             [.] GlobalValueNumbering::GlobalValueNumbering
     0.09%       6060477  C2 CompilerThre  libjvm.so             [.] ConNode::hash
     0.09%       6034699  C2 CompilerThre  libjvm.so             [.] TypeInstPtr::hash
     0.09%       5999554  java             [JIT] tid 160376      [.] 0x00007f02396d8385
     0.09%       5994762  C2 CompilerThre  libjvm.so             [.] CallStaticJavaNode::Opcode
     0.09%       5987669  C2 CompilerThre  libjvm.so             [.] PhaseCFG::schedule_node_into_block
     0.09%       5978957  GC Thread#4      libjvm.so             [.] SpinPause
     0.09%       5974896  C2 CompilerThre  libjvm.so             [.] PhaseIFG::re_insert
     0.09%       5969371  C1 CompilerThre  libjvm.so             [.] IntervalWalker::append_to_unhandled
     0.09%       5938718  C1 CompilerThre  [kernel.kallsyms]     [k] clear_page_rep
     0.09%       5936264  C1 CompilerThre  libjvm.so             [.] LinearScan::add_use
     0.09%       5895970  C1 CompilerThre  libjvm.so             [.] Interval::split_child_at_op_id
     0.09%       5894986  C1 CompilerThre  libjvm.so             [.] LinearScan::compute_debug_info_for_scope
     0.08%       5875219  C1 CompilerThre  libjvm.so             [.] LIRGenerator::state_for
     0.08%       5812227  C1 CompilerThre  libjvm.so             [.] LIR_OpVisitState::append
     0.08%       5792061  C1 CompilerThre  libjvm.so             [.] Assembler::locate_operand
     0.08%       5790098  C1 CompilerThre  libjvm.so             [.] ValueStack::pin_stack_for_linear_scan
     0.08%       5771128  C1 CompilerThre  libjvm.so             [.] LinearScan::eliminate_spill_moves
     0.08%       5646818  VM Thread        libjvm.so             [.] nmethod::oops_do
     0.08%       5643872  C2 CompilerThre  libjvm.so             [.] TypeInstPtr::remove_speculative
     0.08%       5489604  C1 CompilerThre  libjvm.so             [.] MethodLiveness::BasicBlock::compute_gen_kill_single
     0.08%       5385538  C2 CompilerThre  libjvm.so             [.] RegMask::clear_to_sets
     0.08%       5378442  C2 CompilerThre  [kernel.kallsyms]     [k] zap_pte_range
     0.08%       5369210  som              python2.7             [.] PyEval_EvalFrameEx
     0.08%       5356633  java             libjvm.so             [.] ClassLoaderMetaspace::allocate
     0.08%       5354432  java             [JIT] tid 160376      [.] 0x00007f02396d822c
     0.08%       5350327  C2 CompilerThre  libjvm.so             [.] jmpDirNode::is_block_proj
     0.08%       5343686  C2 CompilerThre  libjvm.so             [.] PhaseOutput::shorten_branches
     0.08%       5330745  C2 CompilerThre  libjvm.so             [.] PhaseCFG::is_uncommon
     0.08%       5325224  java             libjvm.so             [.] metaspace::MetaspaceArena::allocate
     0.08%       5323599  C2 CompilerThre  libjvm.so             [.] PhaseIFG::remove_node
     0.08%       5323362  C2 CompilerThre  libjvm.so             [.] PhaseCCP::transform
     0.08%       5316732  C2 CompilerThre  libjvm.so             [.] PhaseOutput::Process_OopMap_Node
     0.08%       5314471  java             libjvm.so             [.] LinkResolver::resolve_invoke
     0.08%       5304656  java             [JIT] tid 160376      [.] 0x00007f02396eb7d3
     0.08%       5304037  java             libjvm.so             [.] Fingerprinter::compute_fingerprint_and_return_type
     0.08%       5299387  java             [JIT] tid 160376      [.] 0x00007f02396e8ecf
     0.08%       5282905  java             libjvm.so             [.] StackMapFrame::is_assignable_to
     0.08%       5280839  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::compute_early_ctrl
     0.08%       5277339  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::compute_initial_block_pressure
     0.08%       5271065  C2 CompilerThre  libjvm.so             [.] ConnectionGraph::compute_escape
     0.08%       5262734  java             libjvm.so             [.] methodHandle::~methodHandle
     0.08%       5256548  java             [JIT] tid 160376      [.] 0x00007f02396e85d3
     0.08%       5249231  java             libjvm.so             [.] ClassVerifier::verify_invoke_instructions
     0.08%       5217308  C2 CompilerThre  libjvm.so             [.] Type::meet_helper
     0.08%       5205065  C2 CompilerThre  libjvm.so             [.] AddPNode::Value
     0.08%       5199394  C2 CompilerThre  libjvm.so             [.] ProjNode::Opcode
     0.07%       5182537  C2 CompilerThre  libjvm.so             [.] IfFalseNode::Opcode
     0.07%       5179104  C2 CompilerThre  libjvm.so             [.] PhaseCFG::schedule_late
     0.07%       5170767  C2 CompilerThre  [kernel.kallsyms]     [k] asm_exc_page_fault
     0.07%       5158322  C2 CompilerThre  libjvm.so             [.] Dict::doubhash
     0.07%       5143402  C2 CompilerThre  libjvm.so             [.] MergeMemNode::iteration_setup
     0.07%       5141270  C1 CompilerThre  libjvm.so             [.] Relocation::pd_call_destination
     0.07%       5137904  C1 CompilerThre  libjvm.so             [.] ciEnv::get_klass_by_name_impl
     0.07%       5128963  C2 CompilerThre  libjvm.so             [.] PhaseCFG::build_cfg
     0.07%       5123225  C1 CompilerThre  libjvm.so             [.] LIRGenerator::is_vreg_flag_set
     0.07%       5111289  java             [JIT] tid 160376      [.] 0x00007f02396e86a7
     0.07%       5111155  C2 CompilerThre  libjvm.so             [.] PhaseCFG::hoist_to_cheaper_block
     0.07%       5102704  C2 CompilerThre  libjvm.so             [.] Node::disconnect_inputs
     0.07%       5095132  GC Thread#3      [kernel.kallsyms]     [k] clear_page_rep
     0.07%       5067623  GC Thread#3      libjvm.so             [.] ParCompactionManager::follow_marking_stacks
     0.07%       5064254  C2 CompilerThre  libjvm.so             [.] Node::Node
     0.07%       5029184  C1 CompilerThre  libjvm.so             [.] SymbolTable::do_lookup
     0.07%       5020333  C1 CompilerThre  libjvm.so             [.] MethodData::compute_allocation_size_in_bytes
     0.07%       5020079  GC Thread#0      libjvm.so             [.] OopOopIterateDispatch<PCIterateMarkAndPushClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.07%       4928902  C1 CompilerThre  libjvm.so             [.] GraphBuilder::invoke
     0.07%       4915939  C1 CompilerThre  libjvm.so             [.] Label::patch_instructions
     0.07%       4895097  C1 CompilerThre  libjvm.so             [.] MoveResolver::resolve_mappings
     0.07%       4871072  C2 CompilerThre  libjvm.so             [.] PhiNode::Ideal
     0.07%       4808746  C1 CompilerThre  libjvm.so             [.] CodeBuffer::relocate_code_to
     0.07%       4773806  C1 CompilerThre  libjvm.so             [.] CodeBuffer::finalize_oop_references
     0.07%       4698955  C2 CompilerThre  libjvm.so             [.] vmSymbols::find_sid
     0.07%       4698500  C1 CompilerThre  libc.so.6             [.] pthread_mutex_trylock@@GLIBC_2.34
     0.07%       4673308  C1 CompilerThre  libjvm.so             [.] LinearScan::resolve_collect_mappings
     0.07%       4605738  C1 CompilerThre  libjvm.so             [.] non-virtual thunk to UseCountComputer::block_do(BlockBegin*)
     0.07%       4527832  C2 CompilerThre  libjvm.so             [.] CProjNode::is_CFG
     0.06%       4488904  C2 CompilerThre  libjvm.so             [.] PhaseChaitin::raise_pressure
     0.06%       4474212  java             [JIT] tid 160376      [.] 0x00007f02396eb7df
     0.06%       4472358  java             libjvm.so             [.] SystemDictionary::resolve_instance_class_or_null
     0.06%       4465891  C2 CompilerThre  libjvm.so             [.] PhiNode::is_diamond_phi
     0.06%       4450064  GC Thread#7      libjvm.so             [.] ParMarkBitMap::live_words_in_range_helper
     0.06%       4448993  C2 CompilerThre  libjvm.so             [.] RegMask::is_UP
     0.06%       4447046  GC Thread#5      libjvm.so             [.] PSPromotionManager::drain_stacks_depth
     0.06%       4437846  java             [JIT] tid 160376      [.] 0x00007f02396e80db
     0.06%       4437732  C2 CompilerThre  libjvm.so             [.] PhiNode::hash
     0.06%       4436263  java             libc.so.6             [.] __memset_avx2_unaligned_erms
     0.06%       4435582  java             [JIT] tid 160376      [.] 0x00007f02396e8410
     0.06%       4431725  java             libjvm.so             [.] ConstantPool::klass_ref_at
     0.06%       4431568  java             [JIT] tid 160376      [.] 0x00007f02396df853
     0.06%       4431495  C2 CompilerThre  libjvm.so             [.] PhiNode::wait_for_region_igvn
     0.06%       4429648  java             libjvm.so             [.] ObjArrayAllocator::initialize
     0.06%       4427718  C2 CompilerThre  libjvm.so             [.] IfTrueNode::Opcode
     0.06%       4426827  java             libjvm.so             [.] SignatureStream::SignatureStream
     0.06%       4426438  C2 CompilerThre  libjvm.so             [.] ciMethodBlocks::do_analysis
     0.06%       4418364  java             libjvm.so             [.] DefaultMethods::generate_default_methods
     0.06%       4417631  C2 CompilerThre  libjvm.so             [.] SymbolTable::do_lookup
     0.06%       4417204  C2 CompilerThre  libjvm.so             [.] ciBytecodeStream::get_method
     0.06%       4417109  java             libjvm.so             [.] GenerateOopMap::mark_reachable_code
     0.06%       4415575  java             [JIT] tid 160376      [.] 0x00007f02396db6ba
     0.06%       4413528  C2 CompilerThre  libjvm.so             [.] PhaseIdealLoop::get_ctrl
     0.06%       4410884  C2 CompilerThre  libjvm.so             [.] ProjNode::bottom_type
     0.06%       4410726  java             libjvm.so             [.] klassVtable::update_inherited_vtable
     0.06%       4404930  C2 CompilerThre  libjvm.so             [.] ProjNode::Value
     0.06%       4404195  java             libjvm.so             [.] StringTable::do_lookup
     0.06%       4403645  java             [JIT] tid 160376      [.] 0x00007f02396e85e7
     0.06%       4393357  java             [JIT] tid 160376      [.] 0x00007f02396db732
     0.06%       4391691  C2 CompilerThre  libjvm.so             [.] PhiNode::is_unsafe_data_reference
     0.06%       4389018  java             [JIT] tid 160376      [.] 0x00007f02396eb91f
     0.06%       4388142  java             [JIT] tid 160376      [.] 0x00007f02396de833
     0.06%       4382105  java             libjvm.so             [.] RelocIterator::initialize
     0.06%       4381880  C2 CompilerThre  libjvm.so             [.] PhaseTransform::makecon
     0.06%       4380011  java             [JIT] tid 160376      [.] 0x00007f02396d8230
     0.06%       4376852  java             [JIT] tid 160376      [.] 0x00007f02396d8250
     0.06%       4374242  C2 CompilerThre  libjvm.so             [.] __tls_get_addr@plt
     0.06%       4363378  C1 CompilerThre  libjvm.so             [.] LIR_OpVisitState::append
     0.06%       4360574  C2 CompilerThre  libc.so.6             [.] __memset_avx2_unaligned
     0.06%       4359239  java             libjvm.so             [.] ClassFileParser::parse_fields
